72.233.134.6,Active,EH26A-IS50,Eaton,False
72.233.134.13,Active,EH222,Eaton,False
72.233.134.24,Active,EH223-01,Eaton,True
72.233.134.28,Active,EHB21-01,Eaton,False
72.233.134.30,Active,EH231,Eaton,True
72.233.134.31,Active,EH233,Eaton,True
72.233.134.33,Active,EHB27-01,Eaton,True
72.233.134.35,Active,mac-schofieldd,Eaton,True
72.233.134.42,Active,EH318-01,Eaton,True
72.233.134.43,Active,APPLETV-EH231,Eaton,True
72.233.134.50,Active,EH330,Eaton,True
72.233.134.57,Active,HVAC-SCIENCE,Eaton,True
72.233.134.65,ActiveReservation,eaton-218-cam01,Eaton,True
72.233.134.72,ActiveReservation,eaton-218-cam02,Eaton,True
72.233.134.79,Active,EH126STOCKROOM,Eaton,True
72.233.134.80,Active,EH131,Eaton,True
72.233.134.134,Active,EH331,Eaton,True
72.233.134.136,Active,EH131-Agilent,Eaton,True
72.233.134.138,Active,EH333-IS5,Eaton,True
72.233.134.139,Active,EHB25A-SEM,Eaton,False
72.233.134.142,Active,EH205-WINCNTRL,Eaton,False
72.233.134.144,Active,EH201-01,Eaton,False
72.233.134.145,Active,EH134,Eaton,True
72.233.134.146,Active,EH205-01,Eaton,False
72.233.134.147,Active,EH133-01,Eaton,False
72.233.134.149,Active,EH112,Eaton,True
72.233.134.151,Active,EH105-01,Eaton,True
72.233.134.153,Active,EH322,Eaton,True
72.233.134.158,Active,HYACINTH-N,Eaton,True
72.233.134.159,Active,EH322,Eaton,True
72.233.134.162,ActiveReservation,EH218-01,Eaton,True
72.233.134.170,Active,EH232,Eaton,True
72.233.134.171,Active,EH230,Eaton,True
72.233.134.182,Active,EH332-01,Eaton,False
72.233.134.194,Active,EH212-01,Eaton,True
72.233.129.11,Active,iMac-2,Art Center,True
72.233.129.20,Active,APPLETV-BERT5,Bertona,True
72.233.129.23,Active,BERT2,Bertona,True
72.233.129.27,ActiveReservation,falcononline,Falcon Newspaper,True
72.233.129.30,Active,CMB201,Crawford Music Building,True
72.233.129.34,Active,ace15,Art Center,False
72.233.129.35,Active,BH-101-102,Beegle,True
72.233.129.39,Active,NICK105,Nickerson Studios,True
72.233.129.41,Active,aceif04,Art Center,True
72.233.129.42,Active,BERT4,Bertona,True
72.233.129.43,Active,mac-rlorig,Art Center,True
72.233.129.45,Active,BERT6,Bertona,True
72.233.129.47,Active,AC3,Art Center,True
72.233.129.56,Active,FALCON7,Falcon Newspaper,False
72.233.129.66,Active,BH201,Beegle,True
72.233.129.68,Active,MAILING,Mailing Services,True
72.233.129.70,Active,ARTADJUNCT,Art Center,True
72.233.129.79,Active,LBHALL,Beegle,True
72.233.129.80,Active,rangerTFoxsiMac,Art Center,True
72.233.129.81,Active,BH1,Beegle,True
72.233.129.91,Active,localadinsiMac2,Art Center,True
72.233.129.92,Active,BERT3,Bertona,True
72.233.129.99,Active,APPLETV-BERT6,Bertona,True
72.233.129.100,Active,CMB211,Crawford Music Building,True
72.233.129.104,Active,MHUGHES,Gwinn Commons,True
72.233.129.137,Active,CREM102,Cremona,True
72.233.129.139,Active,teacher04,Art Center,False
72.233.129.140,Active,Outdoor-Mailing-AP275,Mailing Services,True
72.233.129.141,Active,MAILINGMETER,Mailing Services,True
72.233.129.142,Active,AC5,Art Center,True
72.233.129.144,Active,teacher02,Art Center,False
72.233.129.145,Active,localadinsiMac3,Art Center,True
72.233.129.148,Active,SMITHCHRISR,Human Resources,True
72.233.129.151,Active,Labs-iMac,Art Center,True
72.233.129.153,Active,HR-STU-02,Human Resources,True
72.233.129.156,Active,CREM203,Cremona,True
72.233.129.158,Active,artlabimac007,Art Center,True
72.233.129.165,Active,NICK103,Nickerson Studios,True
72.233.129.168,Active,APPLETV-BERT4,Bertona,True
72.233.129.174,Active,CREM202,Cremona,True
72.233.129.175,Active,KIOSK-MAIL,Mailing Services,True
72.233.129.178,Active,CREM101,Cremona,True
72.233.129.189,Active,ROBERTSL,Bertona,True
72.233.129.190,Active,FALCON6,Falcon Newspaper,True
72.233.129.192,Active,AC6,Art Center,True
72.233.129.193,Active,D25SF0QUGQ17,Gwinn Commons,True
72.233.129.194,Active,CREM203,Cremona,True
72.233.129.195,Active,CREM201,Cremona,True
72.233.129.207,Active,APPLETV-BERT1,Bertona,True
72.233.129.209,Active,BERT3,Bertona,True
72.233.129.213,Active,EXTRON-CMB103-CONTROLLER,Crawford Music Building,True
72.233.129.215,Active,CMB103,Crawford Music Building,True
72.233.129.219,Active,CHRISREED,Human Resources,True
72.233.129.224,Active,BERT5,Bertona,True
72.233.129.229,Active,RBPES,Royal Brougham Pavilion,True
72.233.129.235,Active,BERT1,Bertona,True
72.233.131.19,Active,EIDEH,Eaton,True
